"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"25-29 years"	"25-29"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"30-34 years"	"30-34"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"35-39 years"	"35-39"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"40-44 years"	"40-44"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"45-49 years"	"45-49"	51	Not Applicable	Not Applicable
	"Alabama"	"01"	"50-54 years"	"50-54"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"55-59 years"	"55-59"	80	Not Applicable	Not Applicable
	"Alabama"	"01"	"60-64 years "	"60-64"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"65-69 years"	"65-69"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"70-74 years"	"70-74"	115	Not Applicable	Not Applicable
	"Alabama"	"01"	"75-79 years"	"75-79"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"80-84 years"	"80-84"	128	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	20	Not Applicable	Not Applicable
	"Alaska"	"02"	"25-29 years"	"25-29"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"30-34 years"	"30-34"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"35-39 years"	"35-39"	22	Not Applicable	Not Applicable
	"Alaska"	"02"	"40-44 years"	"40-44"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"45-49 years"	"45-49"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"50-54 years"	"50-54"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"55-59 years"	"55-59"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"60-64 years "	"60-64"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"65-69 years"	"65-69"	28	Not Applicable	Not Applicable
	"Alaska"	"02"	"70-74 years"	"70-74"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"75-79 years"	"75-79"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"80-84 years"	"80-84"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"85-89 years"	"85-89"	14	Not Applicable	Not Applicable
	"Arizona"	"04"	"25-29 years"	"25-29"	38	Not Applicable	Not Applicable
	"Arizona"	"04"	"30-34 years"	"30-34"	64	Not Applicable	Not Applicable
	"Arizona"	"04"	"35-39 years"	"35-39"	79	Not Applicable	Not Applicable
	"Arizona"	"04"	"40-44 years"	"40-44"	82	Not Applicable	Not Applicable
	"Arizona"	"04"	"45-49 years"	"45-49"	80	Not Applicable	Not Applicable
	"Arizona"	"04"	"50-54 years"	"50-54"	110	Not Applicable	Not Applicable
	"Arizona"	"04"	"55-59 years"	"55-59"	134	Not Applicable	Not Applicable
