state,cause,pop,ageGroup,ASCDR2019,ASCDR2020
Alabama,All Causes,6851992,25Plus,768.6454039236331,964.5025059974803
Alabama,All Causes,6851992,2564,276.94349305400294,349.3946021175983
Alabama,All Causes,6851992,65Plus,2297.2227959522374,2876.7180470474855
Alabama,Circulatory,6851992,25Plus,259.0239113971497,282.2755710840833
Alabama,Circulatory,6851992,2564,76.98562780937304,90.17198076797632
Alabama,Circulatory,6851992,65Plus,824.935083643427,879.477246720002
Alabama,COVID-19,6851992,25Plus,0,139.67267790577557
Alabama,COVID-19,6851992,2564,0,40.61157775619242
Alabama,COVID-19,6851992,65Plus,0,447.62868696485435
Alabama,Dementia,6851992,25Plus,74.5328276080049,82.80363227648488
Alabama,Dementia,6851992,2564,1.5209459202313518,1.5889267205714361
Alabama,Dementia,6851992,65Plus,301.508377692838,335.2796956569756
Alabama,Diabetes,6851992,25Plus,17.429567019482786,21.483736256786212
Alabama,Diabetes,6851992,2564,7.953860239721455,10.478042563222152
Alabama,Diabetes,6851992,65Plus,46.887152676244064,55.69766585860603
Alabama,Drugs,6851992,25Plus,10.275016649693082,14.549086801067912
Alabama,Drugs,6851992,2564,12.985780124507077,18.847387023507075
Alabama,Drugs,6851992,65Plus,1.8479357880199396,1.1867540565159598
Alabama,External Causes,6851992,25Plus,53.70345500735722,59.682967080074505
Alabama,External Causes,6851992,2564,50.95859938903282,59.54035952443905
Alabama,External Causes,6851992,65Plus,62.236519756145285,60.12629805084758
Alabama,Homicide,6851992,25Plus,5.753114697572286,7.177953796272306
Alabama,Homicide,6851992,2564,7.4179741807596455,9.286944445121666
Alabama,Homicide,6851992,65Plus,0.5774859057220776,0.6216330772226456
Alabama,Influenza,6851992,25Plus,15.074950336602189,14.538580769022575
Alabama,Influenza,6851992,2564,4.888930596258022,3.9505538468055126
Alabama,Influenza,6851992,65Plus,46.740720075649286,47.45408957977112
Alabama,Neoplasms,6851992,25Plus,146.15988847150282,146.38025687319788
Alabama,Neoplasms,6851992,2564,56.02651994485579,56.63915308462771
Alabama,Neoplasms,6851992,65Plus,426.3618286135355,425.3627447473843
Alabama,Non COVID-19,6851992,25Plus,768.6297412135457,824.8298280917048
Alabama,Non COVID-19,6851992,2564,276.94349305400294,308.783024361406
Alabama,Non COVID-19,6851992,65Plus,2297.158441821579,2429.089360082631
Alabama,Not Classified,6851992,25Plus,13.348451653424302,14.624073737454701
Alabama,Not Classified,6851992,2564,6.855829283039921,7.335312762516044
Alabama,Not Classified,6851992,65Plus,33.53237925459261,37.2829957304295
Alabama,Other Causes,6851992,25Plus,121.1674178047065,136.99000739726446
Alabama,Other Causes,6851992,2564,54.48432975909249,61.17375400078776
Alabama,Other Causes,6851992,65Plus,328.4683425395795,372.6836427650828
Alabama,Other External Causes,6851992,25Plus,14.505295622540478,15.411902734049866
Alabama,Other External Causes,6851992,2564,6.962781341049701,8.08894445860718
Alabama,Other External Causes,6851992,65Plus,37.953072730725346,38.17713552074604
Alabama,Other Respiratory,6851992,25Plus,67.30709125830835,65.33546580799397
Alabama,Other Respiratory,6851992,2564,16.392709562686047,17.307856521494152
Alabama,Other Respiratory,6851992,65Plus,225.58707974035056,214.64120598436602
Alabama,Suicide,6851992,25Plus,10.0514676450437,10.308670685877486
Alabama,Suicide,6851992,2564,10.487336267506153,10.606228313892716
Alabama,Suicide,6851992,65Plus,8.696461883499271,9.383638968580922
Alabama,Transport,6851992,25Plus,12.401400935131365,11.819585062467379
Alabama,Transport,6851992,2564,13.104727475210248,12.710855283310416
Alabama,Transport,6851992,65Plus,10.21493587446714,9.04885043717481
Alaska,All Causes,1020856,25Plus,588.2215186052437,641.8645550929408
Alaska,All Causes,1020856,2564,193.590844806605,228.88503838614608
Alaska,All Causes,1020856,65Plus,1815.0288846834942,1925.713852103871
Alaska,Circulatory,1020856,25Plus,159.5764775675409,165.74636832282576
Alaska,Circulatory,1020856,2564,42.166066930032166,46.90793328457248
Alaska,Circulatory,1020856,65Plus,524.5758711470291,535.1851300763826
Alaska,COVID-19,1020856,25Plus,0,34.28473616723087
Alaska,COVID-19,1020856,2564,0,4.152942085416418
Alaska,COVID-19,1020856,65Plus,0,127.95689443332896
Alaska,Dementia,1020856,25Plus,57.731248287630784,59.19524482697915
Alaska,Dementia,1020856,2564,0,0
Alaska,Dementia,1020856,65Plus,237.20315798590363,243.21835101765157
Alaska,Diabetes,1020856,25Plus,11.2170389104037,17.809461860283065
Alaska,Diabetes,1020856,2564,3.4345205137330224,5.645485438688109
Alaska,Diabetes,1020856,65Plus,35.41092836094044,55.624200717681866
Alaska,Drugs,1020856,25Plus,7.927294736789413,10.598759599241859
Alaska,Drugs,1020856,2564,10.477290563257306,14.008093254817434
Alaska,Drugs,1020856,65Plus,0,0
Alaska,External Causes,1020856,25Plus,64.57741938961414,61.26040362921626
Alaska,External Causes,1020856,2564,56.121741115020015,58.26773242446004
Alaska,External Causes,1020856,65Plus,90.86399334649055,70.56386461694109
Alaska,Homicide,1020856,25Plus,0.7912046370997243,0.9846991519771006
Alaska,Homicide,1020856,2564,1.0457137211537209,1.3014501762849258
Alaska,Homicide,1020856,65Plus,0,0
Alaska,Influenza,1020856,25Plus,0,0
Alaska,Influenza,1020856,2564,0,0
Alaska,Influenza,1020856,65Plus,0,0
Alaska,Neoplasms,1020856,25Plus,129.95103093485847,123.6604569309132
Alaska,Neoplasms,1020856,2564,37.379091463692866,37.74046825620852
